duration,month,hour,day_of_week,user_type
5.15,3,14,Monday,Subscriber
4.75,3,14,Monday,Subscriber
8.12,3,13,Monday,Subscriber
9.58,3,13,Monday,Subscriber
6.47,3,13,Monday,Subscriber
5.55,3,13,Monday,Subscriber
2.7,3,13,Monday,Subscriber
10.93,3,13,Monday,Subscriber
22.28,3,13,Monday,Subscriber
13.72,3,12,Monday,Subscriber
8.73,3,12,Monday,Subscriber
3.03,3,12,Monday,Subscriber
9.83,3,12,Monday,Subscriber
3.67,3,11,Monday,Subscriber
6.57,3,11,Monday,Subscriber
8.27,3,11,Monday,Subscriber
6.5,3,11,Monday,Subscriber
26.97,3,10,Monday,Subscriber
8.17,3,10,Monday,Subscriber
16.1,3,10,Monday,Customer
7.28,3,10,Monday,Subscriber
2.78,3,10,Monday,Subscriber
8.97,3,9,Monday,Subscriber
7.7,3,9,Monday,Subscriber
4.28,3,9,Monday,Subscriber
12.75,3,9,Monday,Subscriber
15.2,3,9,Monday,Subscriber
18.27,3,9,Monday,Subscriber
7.88,3,9,Monday,Subscriber
4.67,3,9,Monday,Subscriber
15.93,3,8,Monday,Subscriber
17.97,3,8,Monday,Subscriber
17.65,3,8,Monday,Subscriber
20.0,3,8,Monday,Subscriber
4.2,3,8,Monday,Subscriber
7.28,3,8,Monday,Subscriber
7.73,3,8,Monday,Subscriber
22.25,3,8,Monday,Subscriber
10.68,3,8,Monday,Subscriber
4.47,3,7,Monday,Subscriber
4.1,3,7,Monday,Subscriber
9.92,3,7,Monday,Subscriber
16.37,3,7,Monday,Subscriber
22.28,3,7,Monday,Subscriber
11.78,3,7,Monday,Subscriber
11.13,3,7,Monday,Subscriber
16.82,3,7,Monday,Subscriber
9.52,3,7,Monday,Subscriber
18.97,3,7,Monday,Subscriber
13.23,3,7,Monday,Subscriber
15.53,3,7,Monday,Subscriber
4.1,3,6,Monday,Subscriber
2.08,3,6,Monday,Subscriber
15.05,3,6,Monday,Subscriber
6.9,3,6,Monday,Subscriber
4.93,3,6,Monday,Subscriber
5.25,3,6,Monday,Subscriber
8.27,3,6,Monday,Subscriber
9.42,3,5,Monday,Subscriber
26.8,3,5,Monday,Subscriber
14.9,3,2,Monday,Subscriber
5.3,3,21,Sunday,Subscriber
75.67,3,19,Sunday,Customer
78.43,3,19,Sunday,Customer
3.92,3,18,Sunday,Subscriber
4.42,3,18,Sunday,Subscriber
14.58,3,18,Sunday,Subscriber
3.4,3,17,Sunday,Subscriber
4.95,3,16,Sunday,Subscriber
5.37,3,16,Sunday,Customer
16.32,3,16,Sunday,Customer
20.65,3,16,Sunday,Subscriber
8.12,3,16,Sunday,Subscriber
13.57,3,16,Sunday,Subscriber
23.32,3,16,Sunday,Subscriber
7.53,3,16,Sunday,Subscriber
47.63,3,16,Sunday,Customer
9.78,3,16,Sunday,Customer
13.78,3,16,Sunday,Customer
15.75,3,15,Sunday,Customer
30.53,3,15,Sunday,Customer
13.27,3,15,Sunday,Subscriber
12.48,3,15,Sunday,Customer
28.13,3,15,Sunday,Customer
3.78,3,15,Sunday,Subscriber
9.72,3,15,Sunday,Subscriber
13.67,3,15,Sunday,Customer
8.05,3,15,Sunday,Subscriber
15.55,3,15,Sunday,Customer
13.82,3,15,Sunday,Customer
28.87,3,15,Sunday,Subscriber
23.32,3,15,Sunday,Subscriber
29.15,3,15,Sunday,Subscriber
8.45,3,15,Sunday,Subscriber
18.63,3,14,Sunday,Subscriber
13.12,3,14,Sunday,Subscriber
19.9,3,14,Sunday,Subscriber
12.78,3,14,Sunday,Subscriber
60.05,3,14,Sunday,Customer
21.13,3,14,Sunday,Customer
9.03,3,14,Sunday,Subscriber
12.27,3,14,Sunday,Customer
2.23,3,14,Sunday,Subscriber
62.73,3,14,Sunday,Customer
15.62,3,14,Sunday,Customer
16.68,3,14,Sunday,Customer
10.58,3,13,Sunday,Subscriber
16.5,3,13,Sunday,Subscriber
9.05,3,13,Sunday,Customer
9.2,3,13,Sunday,Subscriber
19.67,3,13,Sunday,Customer
14.23,3,13,Sunday,Customer
11.27,3,13,Sunday,Subscriber
6.15,3,13,Sunday,Subscriber
16.72,3,13,Sunday,Subscriber
31.23,3,13,Sunday,Customer
19.65,3,13,Sunday,Customer
31.88,3,12,Sunday,Customer
4.23,3,12,Sunday,Subscriber
17.0,3,12,Sunday,Subscriber
6.45,3,12,Sunday,Subscriber
73.52,3,12,Sunday,Customer
14.23,3,12,Sunday,Customer
21.95,3,12,Sunday,Customer
2.97,3,12,Sunday,Customer
36.92,3,12,Sunday,Customer
50.53,3,12,Sunday,Subscriber
51.88,3,12,Sunday,Customer
11.17,3,11,Sunday,Customer
15.07,3,11,Sunday,Subscriber
2.5,3,11,Sunday,Subscriber
15.22,3,11,Sunday,Subscriber
2.58,3,11,Sunday,Subscriber
26.07,3,11,Sunday,Customer
11.38,3,11,Sunday,Subscriber
13.3,3,11,Sunday,Subscriber
24.35,3,10,Sunday,Subscriber
32.93,3,10,Sunday,Customer
21.7,3,10,Sunday,Customer
6.87,3,10,Sunday,Subscriber
17.82,3,10,Sunday,Customer
8.5,3,10,Sunday,Subscriber
8.25,3,10,Sunday,Subscriber
17.53,3,10,Sunday,Subscriber
21.8,3,10,Sunday,Customer
20.83,3,9,Sunday,Subscriber
18.35,3,9,Sunday,Customer
22.97,3,9,Sunday,Customer
5.97,3,9,Sunday,Subscriber
57.3,3,9,Sunday,Customer
24.05,3,9,Sunday,Customer
7.48,3,8,Sunday,Subscriber
100.22,3,8,Sunday,Subscriber
18.08,3,6,Sunday,Subscriber
15.83,3,3,Sunday,Subscriber
12.0,3,2,Sunday,Subscriber
36.48,3,1,Sunday,Customer
18.78,3,1,Sunday,Subscriber
20.1,3,0,Sunday,Customer
7.1,3,23,Saturday,Subscriber
4.22,3,23,Saturday,Subscriber
14.88,3,23,Saturday,Subscriber
4.38,3,22,Saturday,Subscriber
9.73,3,22,Saturday,Subscriber
15.53,3,21,Saturday,Subscriber
9.75,3,20,Saturday,Subscriber
13.07,3,19,Saturday,Subscriber
8.9,3,19,Saturday,Subscriber
1.72,3,19,Saturday,Subscriber
3.57,3,19,Saturday,Subscriber
3.33,3,19,Saturday,Subscriber
9.43,3,19,Saturday,Subscriber
33.62,3,18,Saturday,Subscriber
14.22,3,18,Saturday,Customer
8.63,3,18,Saturday,Customer
14.02,3,18,Saturday,Subscriber
8.38,3,18,Saturday,Subscriber
23.93,3,18,Saturday,Customer
1.82,3,18,Saturday,Subscriber
25.98,3,18,Saturday,Subscriber
27.75,3,18,Saturday,Customer
11.05,3,17,Saturday,Customer
7.5,3,17,Saturday,Subscriber
41.38,3,17,Saturday,Customer
63.25,3,17,Saturday,Subscriber
22.38,3,17,Saturday,Customer
32.02,3,17,Saturday,Customer
17.62,3,17,Saturday,Subscriber
20.55,3,17,Saturday,Customer
23.43,3,17,Saturday,Customer
17.85,3,17,Saturday,Customer
17.6,3,17,Saturday,Subscriber
100.12,3,17,Saturday,Customer
34.05,3,17,Saturday,Customer
18.37,3,17,Saturday,Customer
11.02,3,17,Saturday,Subscriber
6.23,3,17,Saturday,Subscriber
19.3,3,16,Saturday,Customer
40.13,3,16,Saturday,Subscriber
9.9,3,16,Saturday,Subscriber
10.3,3,16,Saturday,Customer
4.73,3,16,Saturday,Subscriber
2.13,3,16,Saturday,Subscriber
56.02,3,16,Saturday,Customer
29.33,3,16,Saturday,Customer
43.73,3,16,Saturday,Customer
16.08,3,16,Saturday,Customer
9.35,3,16,Saturday,Subscriber
5.98,3,16,Saturday,Subscriber
5.78,3,16,Saturday,Subscriber
13.73,3,16,Saturday,Subscriber
20.95,3,16,Saturday,Customer
6.1,3,16,Saturday,Subscriber
21.35,3,16,Saturday,Customer
2.65,3,16,Saturday,Subscriber
19.83,3,16,Saturday,Subscriber
19.37,3,15,Saturday,Customer
8.63,3,15,Saturday,Subscriber
3.25,3,15,Saturday,Subscriber
25.43,3,15,Saturday,Subscriber
6.77,3,15,Saturday,Subscriber
24.28,3,15,Saturday,Subscriber
52.12,3,15,Saturday,Customer
15.05,3,15,Saturday,Customer
15.6,3,15,Saturday,Customer
11.32,3,15,Saturday,Customer
20.98,3,15,Saturday,Customer
22.92,3,15,Saturday,Customer
214.02,3,15,Saturday,Customer
19.8,3,15,Saturday,Customer
20.63,3,15,Saturday,Subscriber
6.47,3,15,Saturday,Subscriber
11.07,3,15,Saturday,Subscriber
23.85,3,14,Saturday,Subscriber
1.33,3,14,Saturday,Customer
14.9,3,14,Saturday,Customer
32.0,3,14,Saturday,Customer
16.02,3,14,Saturday,Subscriber
9.45,3,14,Saturday,Subscriber
23.4,3,14,Saturday,Subscriber
