duration,month,hour,day_of_week,user_type
9.7,9,16,Tuesday,Subscriber
9.48,9,17,Tuesday,Subscriber
9.72,9,17,Tuesday,Subscriber
7.43,9,17,Tuesday,Subscriber
7.77,9,18,Tuesday,Subscriber
7.48,9,18,Tuesday,Subscriber
9.1,9,18,Tuesday,Subscriber
16.38,9,19,Tuesday,Subscriber
14.5,9,20,Tuesday,Subscriber
14.07,9,20,Tuesday,Subscriber
12.72,9,20,Tuesday,Subscriber
27.03,9,21,Tuesday,Subscriber
8.87,9,21,Tuesday,Subscriber
5.92,9,22,Tuesday,Subscriber
3.58,9,6,Wednesday,Subscriber
17.73,9,7,Wednesday,Subscriber
5.82,9,7,Wednesday,Subscriber
10.83,9,8,Wednesday,Subscriber
7.78,9,8,Wednesday,Subscriber
6.28,9,10,Wednesday,Subscriber
7.57,9,11,Wednesday,Subscriber
13.67,9,14,Wednesday,Customer
6.73,9,15,Wednesday,Subscriber
7.75,9,15,Wednesday,Subscriber
14.8,9,15,Wednesday,Subscriber
8.55,9,16,Wednesday,Subscriber
12.15,9,17,Wednesday,Subscriber
9.32,9,17,Wednesday,Subscriber
16.57,9,18,Wednesday,Subscriber
15.78,9,18,Wednesday,Customer
13.0,9,18,Wednesday,Subscriber
7.27,9,20,Wednesday,Subscriber
6.45,9,21,Wednesday,Subscriber
7.9,9,6,Thursday,Subscriber
7.58,9,8,Thursday,Subscriber
7.5,9,8,Thursday,Subscriber
5.18,9,8,Thursday,Subscriber
6.97,9,9,Thursday,Subscriber
6.32,9,9,Thursday,Subscriber
4.77,9,10,Thursday,Subscriber
12.2,9,10,Thursday,Subscriber
10.83,9,14,Thursday,Subscriber
9.0,9,17,Thursday,Subscriber
5.27,9,17,Thursday,Subscriber
8.13,9,17,Thursday,Subscriber
14.13,9,17,Thursday,Subscriber
9.62,9,18,Thursday,Subscriber
11.47,9,18,Thursday,Subscriber
10.77,9,18,Thursday,Subscriber
4.48,9,19,Thursday,Subscriber
6.13,9,19,Thursday,Subscriber
8.18,9,20,Thursday,Subscriber
9.85,9,6,Friday,Subscriber
9.45,9,6,Friday,Subscriber
1.57,9,8,Friday,Subscriber
7.18,9,8,Friday,Subscriber
6.27,9,8,Friday,Subscriber
4.53,9,9,Friday,Subscriber
6.12,9,9,Friday,Subscriber
19.97,9,12,Friday,Customer
11.42,9,13,Friday,Subscriber
8.15,9,14,Friday,Subscriber
18.0,9,15,Friday,Customer
2.27,9,16,Friday,Subscriber
9.53,9,16,Friday,Subscriber
14.87,9,16,Friday,Subscriber
13.27,9,17,Friday,Subscriber
10.35,9,17,Friday,Customer
7.95,9,17,Friday,Subscriber
4.95,9,18,Friday,Subscriber
5.15,9,18,Friday,Subscriber
6.08,9,19,Friday,Subscriber
15.08,9,21,Friday,Subscriber
8.63,9,7,Saturday,Subscriber
21.45,9,12,Saturday,Subscriber
13.57,9,13,Saturday,Customer
12.88,9,15,Saturday,Subscriber
27.72,9,16,Saturday,Subscriber
19.28,9,16,Saturday,Customer
8.93,9,17,Saturday,Subscriber
24.05,9,17,Saturday,Customer
9.8,9,17,Sunday,Subscriber
3.8,9,23,Sunday,Subscriber
7.35,9,7,Monday,Subscriber
5.72,9,8,Monday,Subscriber
10.48,9,8,Monday,Subscriber
8.48,9,8,Monday,Subscriber
3.3,9,8,Monday,Subscriber
3.0,9,9,Monday,Subscriber
4.53,9,9,Monday,Subscriber
6.2,9,10,Monday,Subscriber
47.52,9,11,Monday,Customer
2.53,9,13,Monday,Subscriber
14.85,9,16,Monday,Subscriber
11.03,9,16,Monday,Subscriber
6.7,9,17,Monday,Subscriber
3.9,9,17,Monday,Subscriber
6.43,9,17,Monday,Subscriber
14.6,9,17,Monday,Subscriber
13.03,9,18,Monday,Customer
6.07,9,18,Monday,Subscriber
8.92,9,18,Monday,Subscriber
12.9,9,19,Monday,Subscriber
11.52,9,20,Monday,Subscriber
8.55,9,5,Tuesday,Subscriber
12.02,9,7,Tuesday,Subscriber
12.58,9,7,Tuesday,Subscriber
9.87,9,8,Tuesday,Subscriber
6.22,9,8,Tuesday,Subscriber
9.08,9,8,Tuesday,Subscriber
5.3,9,8,Tuesday,Subscriber
6.15,9,8,Tuesday,Subscriber
6.02,9,9,Tuesday,Subscriber
12.47,9,9,Tuesday,Subscriber
5.75,9,9,Tuesday,Subscriber
7.37,9,9,Tuesday,Subscriber
6.67,9,11,Tuesday,Subscriber
8.43,9,13,Tuesday,Subscriber
4.17,9,15,Tuesday,Subscriber
3.22,9,15,Tuesday,Subscriber
6.78,9,16,Tuesday,Subscriber
10.97,9,16,Tuesday,Subscriber
37.17,9,16,Tuesday,Customer
5.52,9,16,Tuesday,Subscriber
12.7,9,16,Tuesday,Subscriber
9.95,9,17,Tuesday,Subscriber
3.05,9,17,Tuesday,Subscriber
5.13,9,17,Tuesday,Subscriber
16.1,9,17,Tuesday,Subscriber
2.78,9,18,Tuesday,Subscriber
5.15,9,18,Tuesday,Subscriber
5.67,9,18,Tuesday,Subscriber
9.8,9,18,Tuesday,Subscriber
10.05,9,18,Tuesday,Subscriber
4.05,9,18,Tuesday,Subscriber
10.42,9,19,Tuesday,Subscriber
4.3,9,19,Tuesday,Subscriber
4.03,9,20,Tuesday,Subscriber
9.48,9,21,Tuesday,Subscriber
5.55,9,6,Wednesday,Subscriber
10.35,9,7,Wednesday,Subscriber
21.78,9,7,Wednesday,Subscriber
5.7,9,8,Wednesday,Subscriber
6.05,9,11,Wednesday,Subscriber
7.02,9,12,Wednesday,Subscriber
12.77,9,15,Wednesday,Subscriber
11.78,9,16,Wednesday,Subscriber
3.08,9,16,Wednesday,Subscriber
8.68,9,16,Wednesday,Subscriber
14.85,9,16,Wednesday,Subscriber
9.22,9,16,Wednesday,Subscriber
9.33,9,17,Wednesday,Subscriber
9.17,9,17,Wednesday,Subscriber
10.52,9,17,Wednesday,Subscriber
13.45,9,17,Wednesday,Subscriber
2.85,9,18,Wednesday,Subscriber
6.22,9,18,Wednesday,Subscriber
15.6,9,18,Wednesday,Subscriber
7.28,9,18,Wednesday,Subscriber
9.35,9,6,Thursday,Subscriber
12.23,9,7,Thursday,Subscriber
8.47,9,7,Thursday,Subscriber
10.62,9,8,Thursday,Subscriber
2.92,9,8,Thursday,Subscriber
8.95,9,8,Thursday,Subscriber
11.92,9,8,Thursday,Subscriber
18.42,9,8,Thursday,Subscriber
4.33,9,8,Thursday,Subscriber
6.52,9,8,Thursday,Subscriber
9.58,9,9,Thursday,Subscriber
9.35,9,9,Thursday,Subscriber
9.82,9,10,Thursday,Subscriber
10.72,9,11,Thursday,Subscriber
11.13,9,12,Thursday,Subscriber
5.45,9,13,Thursday,Subscriber
3.33,9,14,Thursday,Subscriber
9.3,9,15,Thursday,Subscriber
9.82,9,17,Thursday,Subscriber
16.73,9,17,Thursday,Subscriber
3.62,9,17,Thursday,Subscriber
4.78,9,17,Thursday,Subscriber
7.8,9,18,Thursday,Subscriber
4.42,9,18,Thursday,Subscriber
7.17,9,19,Thursday,Subscriber
5.85,9,23,Thursday,Subscriber
4.88,9,0,Friday,Subscriber
16.0,9,3,Friday,Subscriber
10.02,9,8,Friday,Customer
12.75,9,8,Friday,Subscriber
5.38,9,8,Friday,Subscriber
7.33,9,8,Friday,Subscriber
5.88,9,8,Friday,Subscriber
11.97,9,8,Friday,Subscriber
6.6,9,8,Friday,Subscriber
9.43,9,9,Friday,Subscriber
5.35,9,9,Friday,Subscriber
9.75,9,9,Friday,Subscriber
16.93,9,11,Friday,Subscriber
7.43,9,11,Friday,Subscriber
6.53,9,14,Friday,Subscriber
20.62,9,14,Friday,Subscriber
7.33,9,16,Friday,Subscriber
9.07,9,16,Friday,Subscriber
6.55,9,16,Friday,Subscriber
3.58,9,18,Friday,Subscriber
13.22,9,0,Saturday,Customer
17.07,9,12,Saturday,Customer
62.75,9,15,Saturday,Customer
19.52,9,16,Saturday,Customer
9.45,9,16,Saturday,Customer
50.17,9,16,Saturday,Customer
17.82,9,17,Saturday,Customer
18.8,9,15,Sunday,Customer
16.18,9,5,Monday,Customer
5.83,9,6,Monday,Subscriber
9.85,9,7,Monday,Subscriber
11.47,9,7,Monday,Subscriber
3.43,9,7,Monday,Subscriber
12.83,9,8,Monday,Subscriber
13.02,9,8,Monday,Subscriber
3.35,9,8,Monday,Subscriber
10.28,9,8,Monday,Subscriber
12.3,9,9,Monday,Subscriber
11.03,9,9,Monday,Subscriber
23.73,9,10,Monday,Customer
7.22,9,11,Monday,Subscriber
4.72,9,15,Monday,Subscriber
12.47,9,16,Monday,Subscriber
8.83,9,16,Monday,Subscriber
12.25,9,16,Monday,Subscriber
16.4,9,17,Monday,Customer
5.33,9,18,Monday,Subscriber
5.6,9,19,Monday,Customer
4.82,9,20,Monday,Subscriber
13.45,9,6,Tuesday,Subscriber
